asset,date,open,max,min,close,volume_usd,quantity
SJCFUT,2024-09-18 11:01:00,"25,02","25,04","25,02","25,04","112.636,78",10
SJCFUT,2024-09-18 10:46:00,"25,02","25,02","25,02","25,02","56.305,82",5
SJCFUT,2024-09-18 10:43:00,"25,08","25,08","25,08","25,08","45.145,20",4
SJCFUT,2024-09-18 10:42:00,"25,10","25,10","25,08","25,08","33.879,01",3
SJCFUT,2024-09-18 10:41:00,"25,07","25,08","25,07","25,08","462.718,21",41
SJCFUT,2024-09-18 10:34:00,"25,00","25,00","25,00","25,00","78.757,77",7
SJCFUT,2024-09-18 09:40:00,"25,02","25,02","24,99","24,99","573.565,27",51
SJCFUT,2024-09-18 09:35:00,"25,05","25,05","25,05","25,05","22.542,44",2
SJCFUT,2024-09-18 09:34:00,"25,05","25,05","25,05","25,05","33.813,66",3
SJCFUT,2024-09-18 09:33:00,"25,02","25,02","25,02","25,02","22.522,33",2
SJCFUT,2024-09-18 09:24:00,"25,08","25,08","25,05","25,05","247.996,97",22
SJCFUT,2024-09-18 09:14:00,"25,08","25,08","25,08","25,08","11.286,30",1
SJCFUT,2024-09-18 09:13:00,"25,10","25,10","25,10","25,10","90.370,84",8
SJCFUT,2024-09-18 09:09:00,"25,10","25,10","25,10","25,10","22.592,71",2
SJCFUT,2024-09-18 09:08:00,"25,10","25,10","25,10","25,10","11.296,36",1
SJCFUT,2024-09-18 09:05:00,"25,13","25,13","25,13","25,13","11.306,41",1
SJCFUT,2024-09-18 09:04:00,"25,13","25,13","25,13","25,13","11.306,41",1
SJCFUT,2024-09-18 09:03:00,"25,13","25,13","25,13","25,13","22.612,82",2
SJCFUT,2024-09-18 09:02:00,"25,11","25,13","25,10","25,13","124.295,10",11
SJCFUT,2024-09-18 09:00:00,"25,11","25,11","25,11","25,11","11.301,38",1
SJCFUT,2024-09-17 15:19:00,"24,78","24,78","24,78","24,78","11.150,56",1
SJCFUT,2024-09-17 15:17:00,"24,80","24,80","24,80","24,80","345.979,15",31
SJCFUT,2024-09-17 15:06:00,"24,71","24,71","24,71","24,71","22.240,80",2
SJCFUT,2024-09-17 14:22:00,"24,70","24,70","24,70","24,70","22.230,74",2
SJCFUT,2024-09-17 14:08:00,"24,69","24,69","24,69","24,69","33.331,03",3
SJCFUT,2024-09-17 13:59:00,"24,72","24,72","24,71","24,71","166.831,13",15
SJCFUT,2024-09-17 13:49:00,"24,75","24,75","24,75","24,75","11.135,48",1
SJCFUT,2024-09-17 13:14:00,"24,78","24,78","24,78","24,78","11.150,56",1
SJCFUT,2024-09-17 13:11:00,"24,79","24,79","24,79","24,79","33.466,77",3
SJCFUT,2024-09-17 12:07:00,"24,85","24,85","24,85","24,85","111.807,27",10
SJCFUT,2024-09-17 12:03:00,"24,81","24,81","24,81","24,81","44.662,58",4
SJCFUT,2024-09-17 11:29:00,"24,80","24,80","24,80","24,80","11.160,62",1
SJCFUT,2024-09-17 11:03:00,"24,86","24,86","24,86","24,86","11.185,75",1
SJCFUT,2024-09-17 10:55:00,"24,83","24,83","24,83","24,83","78.229,90",7
SJCFUT,2024-09-17 10:48:00,"24,86","24,86","24,86","24,86","78.300,28",7
